Unnamed: 0,NFT,Percentage
1,Psychedelics Anonymous Printing Press,99.10
2,Psychedelics Anonymous Component2,98.30
3,Forgotten Runes Beast Spawn,95.20
4,FLUF World: EGGs,94.20
5,The Forgotten Runes Infinity Veil,93.20
6,PROOF Collective,92
7,Forgotten Runes Ponies,91.80
8,Azuki,90.50
9,Twin Tigers Jacket,90.30
10,RTFKT - CloneX Mintvial,89.50
11,RTFKT Capsule Space Drip,89.30
12,Psychedelics Anonymous Component1,88.40
13,RTFKT Capsule Space Drip 1.2,88.30
14,Bored Ape Kennel Club,87.20
15,TPLMecha Part,85.90
16,Metaverse Psychedelics Anonymous Pass,85.50
17,Grails by PROOF Collective,85.50
18,IRL Psychedelics Anonymous Pass,84.20
19,The Blitnauts,82.70
20,Bored Ape Yacht Club,81.60
21,RTFKT - MNLTH,81.50
22,FLUF World: Burrows,80.50
23,RTFKT -Mintdisc 1,80.30
24,RTFKT SKIN VIAL: EVO X,80.20
25,RTFKT -Mintdisc 3,79.80
26,RTFKT X NIKE MONOLITH,79.30
27,Future Art Access All Art Pass VeeFriends edition,78.90
28,VeeFriends Mini Drops,77.90
29,RTFKT PodX,76.40
30,Murakami.Flowers Seed,76.40
31,FLUF World: Thingies,75.60
32,Nifty Tailor Genesis Mintpass,74.90
33,RTFKT BONUS ITEMS,73.90
34,SURREAL APES,72.60
35,Gutter Rats,71.90
36,Zxdiacs - A Ghxsts Collection,70.90
37,Kith Friends,70.70
38,CryptoCubes,70.50
39,oncyber labs,69.70
40,mfer x wavelength,69.40
41,FLUF Haus,69.30
42,CLONE X - X TAKASHI MURAKAMI,69
43,Probably Something Genesis Passes,68.90
44,SALT V4,68.80
45,Avid Lines,68.70
46,Beanz Official,68.50
47,Gutter Dogs,68.20
48,Totality by Hideki Tsukamoto,67.80
49,MistleToadzby GREMPLIN,67.50
50,Colorglyphs,66.20
51,Gutter Pigeons,65.90
52,Mutant Ape Yacht Club,65.20
53,Quantum Key,63.20
54,Gutter Merch,62.70
55,SlimHoods,62.50
56,LetsWalk,62.20
57,Sockz (Edition 0),62.10
58,Space Doodles,62.10
59,Ghxsts Comics,61.40
60,10KTF Gucci Grail,61.20
61,Cypher by Hideki Tsukamoto,60.60
62,CryptoPunks,60.40
63,Gutter Comics,60
64,FVCK CRYSTAL//,59.90
65,Framergence by Arihz,59.60
66,Pukenza,59.50
67,World of Women Galaxy,58.80
68,FLUF World: Buzzies,58.70
69,Jadu Jetpack,58.50
70,Cool Cats NFT,58.30
71,Deadfellaz Infected S1,58.30
72,Genesis Oath,58
73,Gutter Cat Gang,57.50
74,Emotes by Heart You V2,56.80
75,Nouns,56.80
76,MoodRollers by Lucas Zanotto,56.50
77,Tsubasa By Tabinekokiki,56.40
78,Oxmons,56.10
79,CyberKongz VX,55.80
80,OSF's Red Lite District,55.80
81,PUNKS 2: TROPO Collector's Edition,55.50
82,Doodles,55.40
83,Solvency by Ezra Miller,55.40
84,Cath Simard Editions,55.20
85,Moonbirds,55.10
86,Cryp Toadz by GREMPLIN,55.10
87,Pranksy Rocks,55
88,Fabricated Fairytales by FEWOCiOUS x parrott _ism x Odious x Jonathan Wolfe,54.90
89,Jenkins the Valet: The Writer's Room,54.80
90,PUNKS 2: BIZ Collector's Edition,54.70
91,10KTF,54.50
92,PUNKS 2: KIKI Collector's Edition,54.50
93,One Hour Time Pieces,54.40
94,Fusion by Hideki Tsukamoto,54.30
95,PUNKS 2: BBA Collector's Edition,53.80
96,Cool Pets NFT,53.80
97,10KTF: GUCCI GRAIL MINT PASS,53.60
98,PUNKS 2: GOLD-RILLA Collector's Edition,53.20
99,BEEPLE - SPRING/SUMMER COLLECTION 2021,53.10
100,The Ape List,53
101,Murakami.Flowers Official,53
102,Lykelsland,52.60
103,PartyBear,52.60
104,ChipArt,52.50
105,PUNKS 2: KING BLACKBORED Collector's Edition,51.40
106,Every Icon,51.10
107,Jake's World Editions,51
108,PUNKS 2: LONE-STAR Collector's Edition,50.80
109,NyanDogg,50.40
110,Blitmap,50.40
111,World of Women,50.10
112,Unravelling: Void Attractors,50
113,Aku: Chapter II by Micah Johnson,50
114,Brandverse Ambassador,50
115,CryptoFlyz,49.90
116,SUPERPLASTIC : SUPERGUCCI,49.50
117,OctoHedz,49.10
118,Damien Hirst - Great Expectations,49
119,Flamingo Flutter,48.70
120,Fomoverse,48.40
121,Meebits,48.20
122,RiotGirls,48.10
123,Forgotten Babies Wizard Orphanage,47.80
124,ASM AIFA Genesis,47.50
125,PUNKS: Origin Stories,47.40
126,Letters by Vinnie Hager,47.10
127,Quantum Curated,47
128,Terraforms by Mathcastles,46.90
129,-SUBTRACTION-,46.50
130,The Tick3t V2,46.40
131,Pussy Riot ACAB,46.40
132,Damien Hirst - The Currency,46.30
133,KLEEE02,46.20
134,Flyfish Club,46.10
135,CryptoDickbutts,45.90
136,DystoPunks,45.90
137,Jake x Jenkins,45.90
138,The Tick3t,45.80
139,EulerBeats Genesis,45.80
140,Elite Ape Entry Coins,45.70
141,Lightbody by Alex Grey,45.30
142,Queens+Kings,45.20
143,spectral beings (official),45.20
144,Animonkeys,45.10
145,OSF Editions,45
146,CyberBrokers,45
147,V1 Punks (Wrapped),44.90
148,PXN: Ghost Divison,44.90
149,CyberKongz,44.80
150,Loot (for Adventurers),44.70
